Date,burger_sales,Instagram_Cost,Bing_Cost,Facebook_Cost,Google_Cost,Pinterest_Cost,Tiktok Cost
2020-09-04,2060,0.0,0.0,613.4,5266.93061,0.0,0.0
2020-09-05,1780,0.0,0.0,619.4,4446.237510000001,0.0,0.0
2020-09-06,1620,0.0,0.0,601.1,3999.50872,0.0,0.0
2020-09-07,1570,0.0,0.0,601.7,4224.04137,0.0,0.0
2020-09-08,2410,0.0,0.0,603.5,7251.13737,0.0,0.0
2020-09-09,2190,0.0,0.0,619.3,6483.40064,0.0,0.0
2020-09-10,2090,0.0,0.0,616.1,5826.67923,0.0,0.0
2020-09-11,1990,0.0,0.0,613.9,6643.767310000001,0.0,0.0
2020-09-12,1610,0.0,0.0,606.2,4639.58825,0.0,0.0
2020-09-13,1720,0.0,0.0,606.8,4067.35083,0.0,0.0
2020-09-14,2270,0.0,0.0,613.9,6713.52241,0.0,0.0
2020-09-15,2380,0.0,0.0,609.7,6407.0988,0.0,0.0
2020-09-16,2340,0.0,0.0,613.0,5780.87136,0.0,0.0
2020-09-17,2210,0.0,0.0,593.0,5160.435930000001,0.0,0.0
2020-09-18,2080,0.0,0.0,644.8,4242.52729,0.0,0.0
2020-09-19,1570,0.0,0.0,589.1,2816.53348,0.0,0.0
2020-09-20,1460,0.0,0.0,593.8,3152.19088,0.0,0.0
2020-09-21,2120,605.2,1733.1,589.5,5276.8187,0.0,0.0
2020-09-22,2330,594.4,1859.7,1030.4,6606.493850000001,0.0,0.0
2020-09-23,2430,655.4,2228.3,1122.9,6001.2981899999995,0.0,0.0
2020-09-24,2350,560.9,2238.1,1209.1,7928.40549,0.0,0.0
2020-09-25,2370,513.4,2265.2,1531.3,9192.99519,0.0,0.0
2020-09-26,1820,507.2,2222.2,1451.3,7276.029560000001,0.0,0.0
2020-09-27,1570,546.4,2404.7,1532.2,6018.82103,0.0,0.0
2020-09-28,2120,642.3,2647.2999999999997,1516.3,8283.14021,0.0,0.0
2020-09-29,2400,676.2,2692.1,1537.1,8815.76723,0.0,0.0
2020-09-30,2270,694.3,2506.2,1442.6,8603.95208,0.0,0.0
2020-10-01,2710,603.9,2332.7,1522.3000000000002,9611.94827,0.0,0.0
2020-10-02,2030,599.7,1425.6999999999998,635.3,5997.78671,0.0,0.0
2020-10-03,1650,585.0,1431.3,633.7,4764.78138,0.0,0.0
2020-10-04,1400,578.6,1422.4,630.3,4016.5654700000005,0.0,0.0
2020-10-05,2140,601.1,1453.7,657.3,6971.04203,0.0,0.0
2020-10-06,2270,604.4,1459.0,803.3,7682.1919,0.0,0.0
2020-10-07,2180,603.7,1445.4,892.3,7716.3624500000005,0.0,0.0
2020-10-08,2110,602.0,1458.8,799.3,7976.50984,0.0,0.0
2020-10-09,1900,618.0,1440.3,809.2,5155.34234,0.0,0.0
2020-10-10,1640,600.4,1452.5,799.0,3622.2854,0.0,0.0
2020-10-11,1630,603.8,1399.5,808.3,2704.21342,0.0,0.0
2020-10-12,1750,600.4,1445.6,809.6,3454.83185,0.0,0.0
2020-10-13,2100,601.3,1495.5,807.9,5117.16703,0.0,0.0
2020-10-14,1900,605.4,1549.8999999999999,801.5,4821.7147,0.0,0.0
2020-10-15,2080,594.5,1467.9,805.9,6025.91536,0.0,0.0
2020-10-16,1730,602.8,1424.8000000000002,800.7,4877.923409999999,0.0,0.0
2020-10-17,1540,601.8,1303.7,825.2,3759.07306,0.0,0.0
2020-10-18,1300,603.8,1438.6,798.5,3763.17041,0.0,0.0
